date,DemandThroughput
2025-07-29,16.47058823529412
2025-07-30,1.1764705882352942
2025-07-31,23.529411764705884
2025-08-01,11.764705882352942
2025-08-02,10.588235294117647
2025-08-03,0.0
2025-08-04,22.35294117647059
2025-08-05,4.705882352941177
2025-08-06,5.882352941176471
2025-08-07,0.0
2025-08-08,16.47058823529412
2025-08-09,18.823529411764707
2025-08-10,1.1764705882352942
2025-08-11,3.5294117647058822
2025-08-12,17.647058823529413
2025-08-13,9.411764705882353
2025-08-14,1.1764705882352942
2025-08-15,2.3529411764705883
2025-08-16,15.294117647058824
2025-08-17,2.3529411764705883
2025-08-18,14.117647058823529
2025-08-19,21.176470588235293
2025-08-20,16.47058823529412
2025-08-21,0.0
2025-08-22,18.823529411764707
2025-08-23,15.294117647058824
2025-08-24,8.23529411764706
2025-08-25,17.647058823529413
2025-08-26,21.176470588235293
2025-08-27,10.588235294117647
2025-08-28,8.23529411764706
2025-08-29,1.1764705882352942
2025-08-30,23.529411764705884
2025-08-31,18.823529411764707
2025-09-01,20.0
2025-09-02,23.529411764705884
2025-09-03,4.705882352941177
2025-09-04,22.35294117647059
2025-09-05,17.647058823529413
2025-09-06,10.588235294117647
2025-09-07,4.705882352941177
2025-09-08,10.588235294117647
2025-09-09,4.705882352941177
2025-09-10,20.0
2025-09-11,14.117647058823529
2025-09-12,17.647058823529413
2025-09-13,9.411764705882353
2025-09-14,7.0588235294117645
2025-09-15,22.35294117647059
2025-09-16,18.823529411764707
2025-09-17,5.882352941176471
2025-09-18,12.941176470588236
2025-09-19,14.117647058823529
2025-09-20,11.764705882352942
2025-09-21,10.588235294117647
2025-09-22,12.941176470588236
2025-09-23,9.411764705882353
2025-09-24,15.294117647058824
2025-09-25,12.941176470588236
2025-09-26,7.0588235294117645
2025-09-27,11.764705882352942
2025-09-28,9.411764705882353
2025-09-29,8.23529411764706
2025-09-30,17.647058823529413
2025-10-01,0.0
2025-10-02,8.23529411764706
2025-10-03,0.0
2025-10-04,17.647058823529413
2025-10-05,23.529411764705884
2025-10-06,16.47058823529412
2025-10-07,16.47058823529412
2025-10-08,11.764705882352942
2025-10-09,7.0588235294117645
2025-10-10,20.0
2025-10-11,11.764705882352942
2025-10-12,14.117647058823529
2025-10-13,7.0588235294117645
2025-10-14,7.0588235294117645
2025-10-15,8.23529411764706
2025-10-16,14.117647058823529
2025-10-17,2.3529411764705883
2025-10-18,0.0
2025-10-19,1.1764705882352942
2025-10-20,10.588235294117647
2025-10-21,20.0
2025-10-22,8.23529411764706
2025-10-23,7.0588235294117645
2025-10-24,21.176470588235293
2025-10-25,0.0
2025-10-26,20.0
2025-10-27,17.647058823529413
2025-10-28,11.764705882352942
2025-10-29,23.529411764705884
2025-10-30,23.529411764705884
2025-10-31,2.3529411764705883
2025-11-01,10.588235294117647
2025-11-02,22.35294117647059
2025-11-03,12.941176470588236
2025-11-04,1.1764705882352942
2025-11-05,16.47058823529412
2025-11-06,7.0588235294117645
2025-11-07,17.647058823529413
2025-11-08,4.705882352941177
2025-11-09,17.647058823529413
2025-11-10,0.0
2025-11-11,2.3529411764705883
2025-11-12,17.647058823529413
2025-11-13,15.294117647058824
2025-11-14,14.117647058823529
2025-11-15,9.411764705882353
2025-11-16,22.35294117647059
2025-11-17,2.3529411764705883
2025-11-18,16.47058823529412
2025-11-19,22.35294117647059
2025-11-20,12.941176470588236
2025-11-21,0.0
2025-11-22,9.411764705882353
2025-11-23,2.3529411764705883
2025-11-24,15.294117647058824
2025-11-25,21.176470588235293
2025-11-26,3.5294117647058822
2025-11-27,2.3529411764705883
2025-11-28,9.411764705882353
2025-11-29,17.647058823529413
2025-11-30,15.294117647058824
2025-12-01,18.823529411764707
2025-12-02,0.0
2025-12-03,7.0588235294117645
2025-12-04,17.647058823529413
2025-12-05,20.0
2025-12-06,11.764705882352942
2025-12-07,10.588235294117647
2025-12-08,0.0
2025-12-09,5.882352941176471
2025-12-10,4.705882352941177
2025-12-11,8.23529411764706
2025-12-12,11.764705882352942
2025-12-13,0.0
2025-12-14,0.0
2025-12-15,21.176470588235293
2025-12-16,0.0
2025-12-17,22.35294117647059
2025-12-18,10.588235294117647
2025-12-19,11.764705882352942
2025-12-20,5.882352941176471
2025-12-21,15.294117647058824
2025-12-22,17.647058823529413
2025-12-23,15.294117647058824
2025-12-24,8.23529411764706
2025-12-25,8.23529411764706
2025-12-26,14.117647058823529
2025-12-27,17.647058823529413
2025-12-28,21.176470588235293
2025-12-29,4.705882352941177
2025-12-30,10.588235294117647
2025-12-31,18.823529411764707
2026-01-01,9.411764705882353
2026-01-02,12.941176470588236
2026-01-03,15.294117647058824
2026-01-04,4.705882352941177
2026-01-05,11.764705882352942
2026-01-06,2.3529411764705883
2026-01-07,4.705882352941177
2026-01-08,9.411764705882353
2026-01-09,22.35294117647059
2026-01-10,9.411764705882353
2026-01-11,21.176470588235293
2026-01-12,9.411764705882353
2026-01-13,15.294117647058824
2026-01-14,8.23529411764706
2026-01-15,0.0
2026-01-16,20.0
2026-01-17,1.1764705882352942
2026-01-18,1.1764705882352942
2026-01-19,14.117647058823529
2026-01-20,11.764705882352942
2026-01-21,0.0
2026-01-22,0.0
2026-01-23,7.0588235294117645
2026-01-24,12.941176470588236
2026-01-25,20.0
2026-01-26,20.0
2026-01-27,8.23529411764706
2026-01-28,14.117647058823529
2026-01-29,2.3529411764705883
2026-01-30,10.588235294117647
2026-01-31,4.705882352941177
2026-02-01,20.0
2026-02-02,4.705882352941177
2026-02-03,9.411764705882353
2026-02-04,21.176470588235293
2026-02-05,3.5294117647058822
2026-02-06,14.117647058823529
2026-02-07,17.647058823529413
2026-02-08,9.411764705882353
2026-02-09,17.647058823529413
2026-02-10,11.764705882352942
2026-02-11,11.764705882352942
2026-02-12,10.588235294117647
2026-02-13,11.764705882352942
2026-02-14,9.411764705882353
2026-02-15,7.0588235294117645
2026-02-16,8.23529411764706
2026-02-17,12.941176470588236
2026-02-18,7.0588235294117645
2026-02-19,10.588235294117647
2026-02-20,3.5294117647058822
2026-02-21,2.3529411764705883
2026-02-22,14.117647058823529
2026-02-23,17.647058823529413
2026-02-24,8.23529411764706
2026-02-25,15.294117647058824
2026-02-26,16.47058823529412
2026-02-27,16.47058823529412
2026-02-28,8.23529411764706
2026-03-01,22.35294117647059
2026-03-02,8.23529411764706
2026-03-03,5.882352941176471
2026-03-04,9.411764705882353
2026-03-05,3.5294117647058822
2026-03-06,11.764705882352942
2026-03-07,2.3529411764705883
2026-03-08,21.176470588235293
2026-03-09,7.0588235294117645
2026-03-10,9.411764705882353
2026-03-11,3.5294117647058822
2026-03-12,8.23529411764706
2026-03-13,15.294117647058824
2026-03-14,12.941176470588236
2026-03-15,22.35294117647059
2026-03-16,0.0
2026-03-17,20.0
2026-03-18,11.764705882352942
2026-03-19,22.35294117647059
2026-03-20,4.705882352941177
2026-03-21,21.176470588235293
2026-03-22,0.0
2026-03-23,12.941176470588236
2026-03-24,15.294117647058824
2026-03-25,9.411764705882353
2026-03-26,14.117647058823529
2026-03-27,20.0
2026-03-28,8.23529411764706
2026-03-29,15.294117647058824
2026-03-30,9.411764705882353
2026-03-31,16.47058823529412
2026-04-01,8.23529411764706
2026-04-02,20.0
2026-04-03,23.529411764705884
2026-04-04,10.588235294117647
2026-04-05,17.647058823529413
2026-04-06,5.882352941176471
2026-04-07,17.647058823529413
